comment_id,type,parent_id,author,text,likes,published_at
Ugz3Ey_rJ4VsbryvLrR4AaABAg,top_level,,@gjoshi4618,Jy dev भूमि जय ho,1,1694131200
Ugx5uzkz6fh9DYCefLJ4AaABAg,top_level,,@aniskhatri7124,Mander kitne tode log to road ke beach me bana late hai,0,1694131200
Ugw_aC-Lmguqrb5nrz94AaABAg,top_level,,@Gbihariofficel,Jey Hindi jey bhart,0,1694131200
Ugy6sZFIxwq8lynwuaB4AaABAg,top_level,,@Shaan_Rajput007,136 crore ka daily nuksaan ho raha Himachal aur uttrakhand milaakar..mandir masjid mazar ko mat hilaao..tum to saalo kothi bunglow m bethe hote ho gareebo k ghr ujad jaate hein Hindu Muslim Sab Pareshaan Hein Ab Waha Qudrat K Azaab Se,0,1694131200
UgwVPAG53JpGqfNZxVV4AaABAg,top_level,,@rishikapoor2953,"Jay Sri Ram 🙏🚩🇮🇳
Dil se hajaro hajaro sallut sirji
Desh me hi desh ke dusman bede h
Jinhone desh ka muslim karan hi kiya h ab tak desh is Neharu khan ke kandan  ko kabhi maf nhi jarege
Kuchh dogale abhi bhi inki chamcha giri me lage h
Sirji is nek kam me lage raho🇮🇳❤️🇮🇳❤️🇮🇳❤️🇮🇳❤️🇮🇳❤️🇮🇳❤️🇮🇳❤️",1,1694131200
UgwhLaqe5sUXsMs94N94AaABAg,top_level,,@Truevoice9768,Saitaano ke pille....ko....Islam se bohot dikkat he.....,0,1694131200
Ugx4RadggS2u-js09Hx4AaABAg,top_level,,@rajeevsingh9735,Superb 🙏,0,1694131200
Ugy7I7x0AR7Nu4bq0954AaABAg,top_level,,@somethingnew6492,Har state me iski jarurt h ❤,2,1694131200
Ugye6X4IUHecSxCEFt94AaABAg,top_level,,@thinkingbeings3925,Bahut acche....aur aise hi gali kocho mein mandiro k atikraman par se bhi unn mandiro ko hatana chahiye,0,1694131200
UgyMPX2ruS7YhiGIQHh4AaABAg,top_level,,@farmanazhar69,Good job mazar hi hata do ye thik nahi hai waise bhi Islam mein koi bhi mazar ka Lena dena nahi hai,0,1694131200
UgwEDCTYB6_1LNFhL7B4AaABAg,top_level,,@Sunilkb853,Yes sir,0,1694131200
Ugzo28GAq2d33BReWG14AaABAg,top_level,,@RamanandRa-w1r,Super 👍,0,1694131200
Ugzlny2zBkNgBfXJxeZ4AaABAg,top_level,,@sanidayalsingh6061,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🤟🤟🤟🤟💥,0,1694131200
UgwXusquBmpLb4Fz4PN4AaABAg,top_level,,@playkicks,Ye cheez asal me hataya ya nahi  sirf ye bewakoof bana rahe hai vote ke liye,0,1694131200
UgyBgETW1KcQES1jkGZ4AaABAg,top_level,,@AweshAhmad-w1h,اللہ اکبر,0,1694131200
UgwdpJaHuRvjw91RdQ54AaABAg,top_level,,@khanjeeeducation6138,Ek bhi mandir nhi bachegi....,0,1694131200
UgyLZaajXYisHa_O65Z4AaABAg,top_level,,@pradeepshingh1875,👍👍👍👍👍,0,1694131200
Ugyhbee5E07ZXIXUsUF4AaABAg,top_level,,@balarammeher6025,"Dev bhumi Uttarakhand..
Har Har Mahadev 🚩🙏🏹",0,1694131200
UgzEZ37fF_xeSbA3Jsx4AaABAg,top_level,,@Aarav-zz1cg,Jai shree ram ❤,0,1694131200
UgycDBpygzH4AGT7MeJ4AaABAg,top_level,,@Aditya-kj4qc,Ap mahan ho sir....😁,1,1694131200
Ugzp3d8GMK2giPvjcoV4AaABAg,top_level,,@BAGESHWARDHAM-bd2rn,Har Har Mahadev,0,1694131200
Ugz9GjK67HlbDl6CMQR4AaABAg,top_level,,@Flashpoint000,Aachaaaaaaaa,0,1694131200
UgwXaELIld807RwAbXR4AaABAg,top_level,,@SudeepBose-ct9kq,Correct,0,1694131200
UgxYEb7KsF06ekgef3B4AaABAg,top_level,,@sunilbatra5728,Bahut badhiya kaam kiya sir 👍 very good 💯 Desh ki safai jaruri he,0,1694131200
UgxXI_ocYTc8fJY0zL14AaABAg,top_level,,@sagirahmad2663,Kitne Mandir Illegal th,0,1694131200
UgycGMBG8icmoimoUPx4AaABAg,top_level,,@amarkumardash3748,❤❤❤❤❤❤❤,0,1694131200
UgyHNVi44T46Wl7d7cl4AaABAg,top_level,,@Raviyt-iy5vh,Great 👍,0,1694131200
Ugz2r6Z-bTLMn92IHdJ4AaABAg,top_level,,@gufranhaider92,Tum sab bhosdi wale mandir nahi dikhta hai,0,1694131200
Ugx3_y0sIZsd94I2pih4AaABAg,top_level,,@rashmigupta6936,👌👌👌👌👌👌👌superb dhamiji🙏🙏🙏🙏,0,1694131200
UgzsBYUBSqOB4EFjjSZ4AaABAg,top_level,,@prashantsahu8044,मंदिरों में वी आई पी दर्शन के नाम पर जो लूट मचा रखे हो उसे सबसे पहले बंद करो धंधा मत बनाओ  लोगो की ashta से खेलोगे तो तबाही आएगी,0,1694131200
